java.io.File.lastModified() 12830
java.io.StringWriter.write() 12610
java.util.Set.toArray() 12600
java.util.Properties 12568
javax.swing.JLabel.setFont() 12475
java.lang.reflect.Field.get() 12455
java.io.File.getCanonicalPath() 12330
java.lang.Math.pow() 12260
javax.xml.parsers.DocumentBuilderFactory.newDocumentBuilder() 12225
java.util.TreeMap.put() 12175
java.util.Map.getValue() 12115
java.security.AccessController.doPrivileged() 12110
java.io.OutputStream.flush() 12065
java.util.Stack.peek() 12050
java.lang.Math.sqrt() 12030
java.lang.Long 12021
java.util.concurrent.atomic.AtomicInteger.get() 11980
java.lang.Integer.toString() 11945
java.lang.reflect.Constructor.newInstance() 11920
java.util.Formatter.format() 11890
java.util.Collection.addAll() 11875
java.lang.reflect.Method 11861
javax.swing.SwingUtilities.invokeLater() 11800
java.nio.file.Path 11790
java.io.ByteArrayOutputStream 11743
org.w3c.dom.Node.getChildNodes() 11730
java.io.BufferedWriter.close() 11690
java.sql.Connection 11591
java.util.Map.getKey() 11385
java.io.BufferedReader 11322
junit.framework.TestCase.assertEquals() 11160
javax.xml.parsers.DocumentBuilder.parse() 11110
java.sql.Statement.executeUpdate() 11070
java.util.HashMap.size() 11055
org.w3c.dom.Element.getElementsByTagName() 11010
java.awt.geom.Point2D.getX() 10995
java.util.ArrayList.isEmpty() 10970
java.sql.ResultSet 10930
javax.xml.namespace.QName.getLocalPart() 10910
java.util.HashMap.values() 10790
java.text.SimpleDateFormat.parse() 10700
java.net.InetAddress.getByName() 10695
java.awt.geom.Point2D.getY() 10675
java.util.Locale.getDefault() 10670
java.sql.ResultSet.getLong() 10590
java.net.URI.toString() 10545
javax.swing.JTextField.getText() 10520
java.util.TimeZone.getTimeZone() 10505
java.lang.Math.sin() 10500
java.util.Set.clear() 10445
org.w3c.dom.Node.getAttributes() 10445
javax.swing.JScrollPane.setViewportView() 10340
javax.swing.JComboBox.getSelectedItem() 10320
java.security.MessageDigest.update() 10305
java.net.URI.create() 10290
java.util.regex.Matcher 10272
java.text.DateFormat.format() 10260
java.lang.Double.parseDouble() 10255
java.awt.Graphics.fillRect() 10235
java.util.concurrent.atomic.AtomicReference.get() 10235
java.awt.Toolkit.getDefaultToolkit() 10165
java.awt.Label 10127
java.lang.String.trim() 10100
java.awt.Graphics2D.setPaint() 10085
